Date,Open,High,Low,Close,Adj Close,Volume
3/4/19,42.549999,43.099998,40.400002,41.360001,40.21413,53877400
3/11/19,41.700001,43.470001,41.66,43.330002,42.129555,51008800
3/18/19,43.470001,44.889999,41.279999,41.720001,40.564159,77925900
3/25/19,41.709999,42.630001,40.91,42.200001,41.030865,55579500
4/1/19,42.779999,45.380001,42.75,44.900002,43.656063,68380400
4/8/19,44.650002,47.07,43.950001,46.689999,45.396465,54553100
4/15/19,46.470001,48.549999,45.919998,47.549999,46.232639,64544100
4/22/19,47.369999,47.919998,46.849998,47.889999,46.563221,37495300
4/29/19,47.849998,48.669998,47.400002,48.060001,46.728512,40373300
5/6/19,46.970001,47.860001,45.490002,46.34,45.340195,41866900
5/13/19,45.200001,45.27,42.860001,43.880001,42.933266,62228200
5/20/19,43.490002,44.529999,42.150002,42.959999,42.033115,44298600
5/27/19,42.849998,43.07,40.599998,40.689999,39.812092,39474000
6/3/19,40.709999,43.07,40.43,42.700001,41.778725,41703100
6/10/19,43.240002,44.18,42.509998,42.82,41.896137,42052500
6/17/19,42.73,44.169998,42.439999,43.580002,42.63974,52161100
6/24/19,43.5,44.57,42.240002,43.810001,42.864777,49106100
7/1/19,44.59,45.060001,43.400002,44.209999,43.256145,31206700
7/8/19,43.59,44.900002,43.02,44.869999,43.901905,36678000
7/15/19,45.009998,45.060001,43.509998,44.389999,43.432262,48444500
7/22/19,44.220001,45.77,43.939999,45.740002,44.753139,42098400
7/29/19,45.639999,45.73,41.240002,42.119999,41.211235,53377000
8/5/19,40.93,41.82,39.470001,41.5,40.921276,60796600
8/12/19,40.77,41.330002,38.759998,39.939999,39.383026,57366500
8/19/19,40.740002,40.830002,39.110001,39.330002,38.781536,49465900
8/26/19,39.84,41.869999,39.349998,41.490002,40.911415,48652300
9/2/19,41.040001,43.110001,40.349998,42.18,41.591793,30619500
9/9/19,42.540001,45.450001,42.540001,45.16,44.530235,58678200
9/16/19,44.490002,45.049999,43.549999,43.669998,43.061012,53150200
9/23/19,43.27,43.779999,42.349998,42.84,42.242588,38619400
9/30/19,43.07,43.200001,39.299999,40.779999,40.211315,49628400
10/7/19,40.599998,42.59,39.689999,41.93,41.34528,46710000
10/14/19,41.77,44.5,41.68,43.66,43.051151,55305200
10/21/19,44.080002,46.459999,44.080002,46.369999,45.723358,51985600
10/28/19,46.490002,47.400002,45.330002,47.330002,46.669975,44331000
11/4/19,47.990002,49.889999,47.880001,49.150002,48.82954,60200300
11/11/19,48.860001,49.389999,48.189999,48.990002,48.670582,32805800
11/18/19,48.84,49.599998,48.389999,49.25,48.928886,37528800
11/25/19,49.349998,49.98,49.07,49.48,49.157387,31574000
12/2/19,49.580002,50.240002,47.439999,49.799999,49.4753,45111200
12/9/19,49.529999,51.150002,49.27,50.240002,49.912434,44432800
12/16/19,50.77,51.439999,50.549999,50.689999,50.359493,58931400
12/23/19,50.91,51.330002,50.57,51.09,50.756889,18269700
12/30/19,51.360001,52.060001,50.740002,51.200001,50.866173,24178400
1/6/20,50.669998,52.470001,50.459999,52.209999,51.869587,33194800
1/13/20,52.209999,57.57,52.07,57.509998,57.135029,79273300
1/20/20,55.880001,56.509998,54.099998,54.549999,54.194328,50927200
1/27/20,53,54.549999,51.889999,52.259998,51.919258,48882600
2/3/20,52.639999,55.490002,52.580002,55.029999,55.029999,40553100
2/10/20,54.68,56.66,54.619999,55.84,55.84,29663600
2/17/20,55.799999,56.43,52.09,52.419998,52.419998,101043000
